YYYY-MM,nCommits,nAuthors,timestamp
2009-05,10,2,1241136000
2009-06,25,7,1243814400
2009-07,23,9,1246406400
2009-08,22,10,1249084800
2009-09,50,9,1251763200
2009-10,25,7,1254355200
2009-11,11,6,1257033600
2009-12,38,11,1259625600
2010-01,26,10,1262304000
2010-02,35,13,1264982400
2010-03,22,10,1267401600
2010-04,35,11,1270080000
2010-05,33,7,1272672000
2010-06,31,7,1275350400
2010-07,37,14,1277942400
2010-08,22,11,1280620800
2010-09,13,7,1283299200
2010-10,26,9,1285891200
2010-11,34,10,1288569600
2010-12,13,10,1291161600
2011-01,29,9,1293840000
2011-02,21,7,1296518400
2011-03,28,8,1298937600
2011-04,26,9,1301616000
2011-05,65,11,1304208000
2011-06,83,14,1306886400
2011-07,104,17,1309478400
2011-08,154,17,1312156800
2011-09,208,19,1314835200
2011-10,291,21,1317427200
2011-11,171,21,1320105600
2011-12,203,19,1322697600
2012-01,223,15,1325376000
2012-02,296,21,1328054400
2012-03,192,17,1330560000
2012-04,256,17,1333238400
2012-05,189,14,1335830400
2012-06,129,16,1338508800
2012-07,195,15,1341100800
2012-08,196,18,1343779200
2012-09,179,19,1346457600
2012-10,212,16,1349049600
2012-11,172,19,1351728000
2012-12,107,20,1354320000
2013-01,219,20,1356998400
2013-02,125,19,1359676800
2013-03,186,22,1362096000
2013-04,227,23,1364774400
2013-05,163,21,1367366400
2013-06,213,26,1370044800
2013-07,186,25,1372636800
2013-08,204,29,1375315200
2013-09,197,28,1377993600
2013-10,256,24,1380585600
2013-11,194,20,1383264000
2013-12,184,30,1385856000
2014-01,223,26,1388534400
2014-02,296,26,1391212800
2014-03,250,25,1393632000
2014-04,180,31,1396310400
2014-05,183,29,1398902400
2014-06,199,32,1401580800
2014-07,286,32,1404172800
2014-08,301,40,1406851200
2014-09,422,34,1409529600
2014-10,279,34,1412121600
2014-11,221,29,1414800000
2014-12,204,27,1417392000
2015-01,199,34,1420070400
2015-02,307,38,1422748800
2015-03,307,41,1425168000
2015-04,321,43,1427846400
2015-05,390,44,1430438400
2015-06,247,41,1433116800
2015-07,216,45,1435708800
2015-08,173,40,1438387200
2015-09,231,44,1441065600
2015-10,270,46,1443657600
2015-11,202,34,1446336000
2015-12,175,45,1448928000
2016-01,213,43,1451606400
2016-02,225,40,1454284800
2016-03,191,46,1456790400
2016-04,191,44,1459468800
2016-05,230,42,1462060800
2016-06,207,44,1464739200
2016-07,177,44,1467331200
2016-08,223,43,1470009600
2016-09,172,36,1472688000
2016-10,3,2,1475280000
